Name	Treatment	Fraction	Replicate
ctrl1-01	Control	1	BR1
ctrl2-01	Control	1	BR2
ctrl3-01	Control	1	BR3
ctrl1-02	Control	2	BR1
ctrl2-02	Control	2	BR2
ctrl3-02	Control	2	BR3
ctrl1-03	Control	3	BR1
ctrl2-03	Control	3	BR2
ctrl3-03	Control	3	BR3
ctrl1-04	Control	4	BR1
ctrl2-04	Control	4	BR2
ctrl3-04	Control	4	BR3
ctrl1-05	Control	5	BR1
ctrl2-05	Control	5	BR2
ctrl3-05	Control	5	BR3
ctrl1-06	Control	6	BR1
ctrl2-06	Control	6	BR2
ctrl3-06	Control	6	BR3
ctrl1-07	Control	7	BR1
ctrl2-07	Control	7	BR2
ctrl3-07	Control	7	BR3
ctrl1-08	Control	8	BR1
ctrl2-08	Control	8	BR2
ctrl3-08	Control	8	BR3
ctrl1-09	Control	9	BR1
ctrl2-09	Control	9	BR2
ctrl3-09	Control	9	BR3
ctrl1-10	Control	10	BR1
ctrl2-10	Control	10	BR2
ctrl3-10	Control	10	BR3
ctrl1-11	Control	11	BR1
ctrl2-11	Control	11	BR2
ctrl3-11	Control	11	BR3
ctrl1-12	Control	12	BR1
ctrl2-12	Control	12	BR2
ctrl3-12	Control	12	BR3
ctrl1-13	Control	13	BR1
ctrl2-13	Control	13	BR2
ctrl3-13	Control	13	BR3
ctrl1-14	Control	14	BR1
ctrl2-14	Control	14	BR2
ctrl3-14	Control	14	BR3
ctrl1-15	Control	15	BR1
ctrl2-15	Control	15	BR2
ctrl3-15	Control	15	BR3
ctrl1-16	Control	16	BR1
ctrl2-16	Control	16	BR2
ctrl3-16	Control	16	BR3
ctrl1-17	Control	17	BR1
ctrl2-17	Control	17	BR2
ctrl3-17	Control	17	BR3
ctrl1-18	Control	18	BR1
ctrl2-18	Control	18	BR2
ctrl3-18	Control	18	BR3
ctrl1-19	Control	19	BR1
ctrl2-19	Control	19	BR2
ctrl3-19	Control	19	BR3
ctrl1-20	Control	20	BR1
ctrl2-20	Control	20	BR2
ctrl3-20	Control	20	BR3
rnase1-01	RNase	1	BR1
rnase2-01	RNase	1	BR2
rnase3-01	RNase	1	BR3
rnase1-02	RNase	2	BR1
rnase2-02	RNase	2	BR2
rnase3-02	RNase	2	BR3
rnase1-03	RNase	3	BR1
rnase2-03	RNase	3	BR2
rnase3-03	RNase	3	BR3
rnase1-04	RNase	4	BR1
rnase2-04	RNase	4	BR2
rnase3-04	RNase	4	BR3
rnase1-05	RNase	5	BR1
rnase2-05	RNase	5	BR2
rnase3-05	RNase	5	BR3
rnase1-06	RNase	6	BR1
rnase2-06	RNase	6	BR2
rnase3-06	RNase	6	BR3
rnase1-07	RNase	7	BR1
rnase2-07	RNase	7	BR2
rnase3-07	RNase	7	BR3
rnase1-08	RNase	8	BR1
rnase2-08	RNase	8	BR2
rnase3-08	RNase	8	BR3
rnase1-09	RNase	9	BR1
rnase2-09	RNase	9	BR2
rnase3-09	RNase	9	BR3
rnase1-10	RNase	10	BR1
rnase2-10	RNase	10	BR2
rnase3-10	RNase	10	BR3
rnase1-11	RNase	11	BR1
rnase2-11	RNase	11	BR2
rnase3-11	RNase	11	BR3
rnase1-12	RNase	12	BR1
rnase2-12	RNase	12	BR2
rnase3-12	RNase	12	BR3
rnase1-13	RNase	13	BR1
rnase2-13	RNase	13	BR2
rnase3-13	RNase	13	BR3
rnase1-14	RNase	14	BR1
rnase2-14	RNase	14	BR2
rnase3-14	RNase	14	BR3
rnase1-15	RNase	15	BR1
rnase2-15	RNase	15	BR2
rnase3-15	RNase	15	BR3
rnase1-16	RNase	16	BR1
rnase2-16	RNase	16	BR2
rnase3-16	RNase	16	BR3
rnase1-17	RNase	17	BR1
rnase2-17	RNase	17	BR2
rnase3-17	RNase	17	BR3
rnase1-18	RNase	18	BR1
rnase2-18	RNase	18	BR2
rnase3-18	RNase	18	BR3
rnase1-19	RNase	19	BR1
rnase2-19	RNase	19	BR2
rnase3-19	RNase	19	BR3
rnase1-20	RNase	20	BR1
rnase2-20	RNase	20	BR2
rnase3-20	RNase	20	BR3
