old_locus_tag	GO RNA-binding	Protein names	Gene Names	Gene Names (ordered locus)	small_ribosomal	large_ribosomal	ribosomal protein
slr0083	True	RNA helicase CrhR (EC 3.6.4.13)	crhR deaD slr0083	slr0083	False	False	False
slr1129	True	Ribonuclease E (RNase E) (SynRne) (EC 3.1.26.12) (Ribonuclease E/G)	rne slr1129	slr1129	False	False	False
sll1043	True	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp sll1043	sll1043	False	False	False
slr0665	True	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB slr0665	slr0665	False	False	False
sll0098	True	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN sll0098	sll0098	False	False	False
sll1802	True	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)	rplB rpl2 sll1802	sll1802	False	True	True
sll1553	True	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT sll1553	sll1553	False	False	False
slr1646	True	Ribonuclease 3 1 (EC 3.1.26.3) (Ribonuclease III 1) (RNase III 1)	rnc1 slr1646	slr1646	False	False	False
slr0992	True	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase)	slr0992	slr0992	False	False	False
sll0078	True	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS sll0078	sll0078	False	False	False
sll0898	True	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA engC sll0898	sll0898	False	False	False
slr0551	True	Ribonuclease J (RNase J) (EC 3.1.-.-)	rnj slr0551	slr0551	False	False	False
sll1804	True	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	rpsC rps3 sll1804	sll1804	True	False	True
sll1253	True	A-adding tRNA nucleotidyltransferase (A-adding TNT) (EC 2.7.7.-) (A-adding enzyme)	sll1253	sll1253	False	False	False
sll1096	True	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	rpsL rps12 sll1096	sll1096	True	False	True
sll0362	True	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS sll0362	sll0362	False	False	False
sll0322	True	Carbamoyltransferase HypF (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme HypF) ([NiFe]-hydrogenase maturation factor HypF) (Hydrogenase maturation protein HypF)	hypF sll0322	sll0322	False	False	False
sll0926	True	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.-) (EC 1.3.1.91) (DusA-like U20-specific dihydrouridine synthase) (U20-specific Dus) (tRNA-dihydrouridine synthase 2)	dus2 sll0926	sll0926	False	False	False
slr1031	True	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS slr1031	slr1031	False	False	False
sll1816	True	Small ribosomal subunit protein uS13 (30S ribosomal protein S13)	rpsM rps13 sll1816	sll1816	True	False	True
slr1550	True	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS slr1550	slr1550	False	False	False
slr0457	True	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB slr0457	slr0457	False	False	False
sll1746	True	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)	rplL rpl12 sll1746	sll1746	False	True	True
slr0469	True	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)	rpsD rps4 slr0469	slr0469	True	False	True
sll0708	True	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA sll0708	sll0708	False	False	False
slr1105	True	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA)	bipA slr1105	slr1105	False	False	False
sll1362	True	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS sll1362	sll1362	False	False	False
slr1531	True	Signal recognition particle protein (EC 3.6.5.4) (Fifty-four homolog)	ffh slr1531	slr1531	False	False	False
