Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
sll1805	1,8738361266	RNA-binding protein	Rpl16		
slr0665	1,7378227823	RNA-binding protein	AcnB		352, left
slr0361	1,6622556907	RNA-binding protein	RNA pseudouridine synthase		
sll1810	1,6175142474	RNA-binding protein	Rpl6		
sll1816	1,6112845104	RNA-binding protein	Rps13		
sll0767	1,5606582375	RNA-binding protein	Rpl20		
sll1101	1,5565703525	RNA-binding protein	Rps10		
ssr1480	1,5219387792	RNA-binding protein	Rbp2		470, left
sll1463	1,4621986361	RNA-binding protein	FtsH4		
slr1639	1,4328048097	RNA-binding protein	SmpB; SsrA-binding protein		
sll1804	1,4185830436	RNA-binding protein	Rps3		
sll1803	1,3916523978	RNA-binding protein	Rpl22		
slr1463	1,3842450252	RNA-binding protein	Elongation factor G 1; EF-G 1		
sll1802	1,3709063774	RNA-binding protein	Rpl2		
sll1546	1,3329083179	RNA-binding protein	ppx, Exopolyphosphatase/pppGpp-phosphohydrolase		
sll0517	1,3327358859	RNA-binding protein	Rbp1		43, left
sll0368	1,3034858735	RNA-binding protein	Bifunctional protein PyrR; Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase		
sll1096	1,2770482147	RNA-binding protein	Rps12		
slr1531	1,2647271605	RNA-binding protein	Ffh; Signal recognition particle protein		
sll1261	1,2014488302	RNA-binding protein	Elongation factor Ts; EF-Ts		
slr0955	1,1967748734	RNA-binding protein	tRNA/rRNA methyltransferase		
sll1244	1,1949457453	RNA-binding protein	RpL9		
sll1820	1,1750472423	RNA-binding protein	tRNA pseudouridine (38-40) synthase		
sll1744	1,1635034896	RNA-binding protein	Rpl1		2 left 
slr0230	1,1607548976	RNA-binding protein	transposase		
slr0704	1,1607548976	RNA-binding protein	transposase		
slr0628	1,1583233248	RNA-binding protein	Rps14		
sll0844	1,1535076282	RNA-binding protein	tRNA-specific 2-thiouridylase MnmA		
sll0202	1,1304082003	RNA-binding protein	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG; AltName: FGlucose-inhibited division protein A		
sll1910	1,1288755225	RNA-binding protein	RNase II/R homolog 		
slr0469	1,1287836284	RNA-binding protein	Rps4		
sll0271	1,1225390337	RNA-binding protein	Antitermination factor NusB		
ssr2848	1,1049192112	RNA-binding protein	unknown	upstream of slr1704	
sll1806	1,1023234776	RNA-binding protein	Rpl14		
sll1099	1,0814627694	RNA-binding protein	Elongation factor Tu; EF-Tu		
slr0352	1,0773880274	RNA-binding protein	transposase		
slr0083	1,0720129001	RNA-binding protein	RNA helicase CrhR		
sll0420	1,0694810897	RNA-binding protein	Urease subunit beta; UreB		
sll1043	1,0673769481	RNA-binding protein	PNPase		
sll0431	1,0621599097	RNA-binding protein	transposase		
sll1397	1,0621599097	RNA-binding protein	transposase		
slr1075	1,0621599097	RNA-binding protein	transposase		
slr1731	1,0485866882	RNA-binding protein	Putative sensor protein KdpD		
ssl3441	1,0438519521	RNA-binding protein	Translation initiation factor IF-1		
slr1592	1,0390335763	RNA-binding protein	pseudouridine synthase		
sll1743	1,0362358019	RNA-binding protein	Rpl11		
slr0612	1,0247736084	RNA-binding protein	pseudouridine synthase		
sll0078	1,0178892852	RNA-binding protein	Threonyl-tRNA synthetase; ThrRS		
slr0954	1,0150523014	RNA-binding protein	Mini-RNase III; Mini-III		
ssl1377	1,0135305494	RNA-binding protein	HicA domain toxin; Kopfmann et al., 2016		
