Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Names (ordered locus)	Organism	Length	Gene Ontology IDs	Transmembrane	Intramembrane
P14835	reviewed	PSBH_SYNY3	Photosystem II reaction center protein H (PSII-H) (6 kDa phosphoprotein)	psbH ssl2598	ssl2598	Synechocystis sp. (strain PCC 6803 / Kazusa)	64	GO:0015979; GO:0030096; GO:0031676; GO:0042301; GO:0050821	TRANSMEM 28..50; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
P32422	reviewed	PSAC_SYNY3	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)	psaC ssl0563	ssl0563	Synechocystis sp. (strain PCC 6803 / Kazusa)	81	GO:0009055; GO:0009522; GO:0009773; GO:0031676; GO:0046872; GO:0051539		
P74102	reviewed	OCP_SYNY3	Orange carotenoid-binding protein (OCP) [Cleaved into: Red carotenoid-binding protein (RCP)]	slr1963	slr1963	Synechocystis sp. (strain PCC 6803 / Kazusa)	317	GO:0009881; GO:0016037; GO:0030089; GO:0031404; GO:0031676		
P74132	reviewed	HEMN_SYNY3	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	hemN sll1876	sll1876	Synechocystis sp. (strain PCC 6803 / Kazusa)	466	GO:0004109; GO:0005737; GO:0006779; GO:0006782; GO:0015995; GO:0046872; GO:0051539; GO:0051989		
P74646	reviewed	KAIC1_SYNY3	Circadian clock oscillator protein KaiC 1 (EC 2.7.11.1) (EC 3.6.4.-)	kaiC1 slr0758	slr0758	Synechocystis sp. (strain PCC 6803 / Kazusa)	519	GO:0000287; GO:0003677; GO:0004674; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0016301; GO:0016887; GO:0042752; GO:0046777; GO:0106310		
Q55700	reviewed	FTSH2_SYNY3	ATP-dependent zinc metalloprotease FtsH 2 (EC 3.4.24.-)	ftsH2 slr0228	slr0228	Synechocystis sp. (strain PCC 6803 / Kazusa)	627	GO:0004176; GO:0004222; GO:0005524; GO:0006508; GO:0008270; GO:0010206; GO:0016887; GO:0030163; GO:0042651	TRANSMEM 8..28; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 118..138; /note="Helical"; /evidence="ECO:0000255"	
P09192	reviewed	PSBD_SYNY3	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD sll0849	sll0849	Synechocystis sp. (strain PCC 6803 / Kazusa)	352	GO:0005506; GO:0009523; GO:0009772; GO:0010242; GO:0016168; GO:0030096; GO:0031676; GO:0045156	TRANSMEM 32..53; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 109..131; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 141..162; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 191..217; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 266..288; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
P73429	reviewed	HLIB_SYNY3	High light-inducible protein HliB (Small Cab-like protein ScpD)	hliB scpD ssr2595	ssr2595	Synechocystis sp. (strain PCC 6803 / Kazusa)	70	GO:0010207; GO:0016168; GO:0042651; GO:1990066	TRANSMEM 31..58; /note="Helical"; /evidence="ECO:0000305|PubMed:35279779"	
P73722	reviewed	LEXA_SYNY3	Transcription regulator LexA (LexA-related repressor)	lexA sll1626	sll1626	Synechocystis sp. (strain PCC 6803 / Kazusa)	203	GO:0004252; GO:0005737; GO:0006260; GO:0006508; GO:0009432; GO:0032993; GO:0043565; GO:0045892; GO:0045893		
P74503	reviewed	KAIC3_SYNY3	Circadian clock protein KaiC3 (EC 2.7.11.1) (EC 3.6.4.-)	kaiC3 slr1942	slr1942	Synechocystis sp. (strain PCC 6803 / Kazusa)	505	GO:0000287; GO:0003677; GO:0004674; GO:0005524; GO:0006355; GO:0016310; GO:0016787; GO:0042752		
P74721	reviewed	ADHA_SYNY3	Aldehyde reductase AdhA (EC 1.1.1.2) (Alcohol dehydrogenase AdhA)	adhA slr1192	slr1192	Synechocystis sp. (strain PCC 6803 / Kazusa)	336	GO:0005737; GO:0008106; GO:0008270; GO:0016616		
Q55804	reviewed	CRHR_SYNY3	RNA helicase CrhR (EC 3.6.4.13)	crhR deaD slr0083	slr0083	Synechocystis sp. (strain PCC 6803 / Kazusa)	492	GO:0003724; GO:0005524; GO:0005829; GO:0009409; GO:0016887; GO:0031676; GO:0032574; GO:0033592; GO:0034057; GO:0034458		
P09190	reviewed	PSBE_SYNY3	Cytochrome b559 subunit alpha (PSII reaction center subunit V)	psbE ssr3451	ssr3451	Synechocystis sp. (strain PCC 6803 / Kazusa)	81	GO:0005506; GO:0009055; GO:0009539; GO:0009767; GO:0020037; GO:0030096; GO:0031676	TRANSMEM 19..40; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
P09193	reviewed	PSBC_SYNY3	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC sll0851	sll0851	Synechocystis sp. (strain PCC 6803 / Kazusa)	460	GO:0009772; GO:0016168; GO:0030096; GO:0031676; GO:0045156; GO:0046872	TRANSMEM 36..58; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 99..121; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 143..165; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 221..240; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 256..276; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"; TRANSMEM 412..436; /note="Helical"; /evidence="ECO:0000269|PubMed:34937700, ECO:0000312|PDB:7N8O"	
