id	new_Description	Locus.tag	new_gene	old_locus_tag	Protein.IDs	Majority.protein.IDs	Gene	ProteinFunction	ProteinID	Pseudogene	Location	gbKey.and.other	remarks	X2.Pep.ID	average..log2.IBAQ..RNAse.free_01	average..log2.IBAQ..RNAse.free_02	average..log2.IBAQ..RNAse.free_03	average..log2.IBAQ..RNAse.free_04	average..log2.IBAQ..RNAse.free_05	average..log2.IBAQ..RNAse.free_06	average..log2.IBAQ..RNAse.free_07	average..log2.IBAQ..RNAse.free_08	average..log2.IBAQ..RNAse.free_09	average..log2.IBAQ..RNAse.free_10	average..log2.IBAQ..RNAse.free_11	average..log2.IBAQ..RNAse.free_12	average..log2.IBAQ..RNAse.free_13	average..log2.IBAQ..RNAse.free_14	average..log2.IBAQ..RNAse.free_15	average..log2.IBAQ..RNAse.free_16	average..log2.IBAQ..RNAse.free_17	average..log2.IBAQ..RNAse.free_18	average..log2.IBAQ..RNAse.free_19	average..log2.IBAQ..RNAse.free_20	average..log2.IBAQ..RNAse_01	average..log2.IBAQ..RNAse_02	average..log2.IBAQ..RNAse_03	average..log2.IBAQ..RNAse_04	average..log2.IBAQ..RNAse_05	average..log2.IBAQ..RNAse_06	average..log2.IBAQ..RNAse_07	average..log2.IBAQ..RNAse_08	average..log2.IBAQ..RNAse_09	average..log2.IBAQ..RNAse_10	average..log2.IBAQ..RNAse_11	average..log2.IBAQ..RNAse_12	average..log2.IBAQ..RNAse_13	average..log2.IBAQ..RNAse_14	average..log2.IBAQ..RNAse_15	average..log2.IBAQ..RNAse_16	average..log2.IBAQ..RNAse_17	average..log2.IBAQ..RNAse_18	average..log2.IBAQ..RNAse_19	average..log2.IBAQ..RNAse_20	ctrl1-01	ctrl2-01	ctrl3-01	ctrl1-02	ctrl2-02	ctrl3-02	ctrl1-03	ctrl2-03	ctrl3-03	ctrl1-04	ctrl2-04	ctrl3-04	ctrl1-05	ctrl2-05	ctrl3-05	ctrl1-06	ctrl2-06	ctrl3-06	ctrl1-07	ctrl2-07	ctrl3-07	ctrl1-08	ctrl2-08	ctrl3-08	ctrl1-09	ctrl2-09	ctrl3-09	ctrl1-10	ctrl2-10	ctrl3-10	ctrl1-11	ctrl2-11	ctrl3-11	ctrl1-12	ctrl2-12	ctrl3-12	ctrl1-13	ctrl2-13	ctrl3-13	ctrl1-14	ctrl2-14	ctrl3-14	ctrl1-15	ctrl2-15	ctrl3-15	ctrl1-16	ctrl2-16	ctrl3-16	ctrl1-17	ctrl2-17	ctrl3-17	ctrl1-18	ctrl2-18	ctrl3-18	ctrl1-19	ctrl2-19	ctrl3-19	ctrl1-20	ctrl2-20	ctrl3-20	rnase1-01	rnase2-01	rnase3-01	rnase1-02	rnase2-02	rnase3-02	rnase1-03	rnase2-03	rnase3-03	rnase1-04	rnase2-04	rnase3-04	rnase1-05	rnase2-05	rnase3-05	rnase1-06	rnase2-06	rnase3-06	rnase1-07	rnase2-07	rnase3-07	rnase1-08	rnase2-08	rnase3-08	rnase1-09	rnase2-09	rnase3-09	rnase1-10	rnase2-10	rnase3-10	rnase1-11	rnase2-11	rnase3-11	rnase1-12	rnase2-12	rnase3-12	rnase1-13	rnase2-13	rnase3-13	rnase1-14	rnase2-14	rnase3-14	rnase1-15	rnase2-15	rnase3-15	rnase1-16	rnase2-16	rnase3-16	rnase1-17	rnase2-17	rnase3-17	rnase1-18	rnase2-18	rnase3-18	rnase1-19	rnase2-19	rnase3-19	rnase1-20	rnase2-20	rnase3-20	log2.IBAQ..peptides	Unique.peptides.BR1_._01	Unique.peptides.BR2_._01	Unique.peptides.BR3_._01	Unique.peptides.BR1_._02	Unique.peptides.BR2_._02	Unique.peptides.BR3_._02	Unique.peptides.BR1_._03	Unique.peptides.BR2_._03	Unique.peptides.BR3_._03	Unique.peptides.BR1_._04	Unique.peptides.BR2_._04	Unique.peptides.BR3_._04	Unique.peptides.BR1_._05	Unique.peptides.BR2_._05	Unique.peptides.BR3_._05	Unique.peptides.BR1_._06	Unique.peptides.BR2_._06	Unique.peptides.BR3_._06	Unique.peptides.BR1_._07	Unique.peptides.BR2_._07	Unique.peptides.BR3_._07	Unique.peptides.BR1_._08	Unique.peptides.BR2_._08	Unique.peptides.BR3_._08	Unique.peptides.BR1_._09	Unique.peptides.BR2_._09	Unique.peptides.BR3_._09	Unique.peptides.BR1_._10	Unique.peptides.BR2_._10	Unique.peptides.BR3_._10	Unique.peptides.BR1_._11	Unique.peptides.BR2_._11	Unique.peptides.BR3_._11	Unique.peptides.BR1_._12	Unique.peptides.BR2_._12	Unique.peptides.BR3_._12	Unique.peptides.BR1_._13	Unique.peptides.BR2_._13	Unique.peptides.BR3_._13	Unique.peptides.BR1_._14	Unique.peptides.BR2_._14	Unique.peptides.BR3_._14	Unique.peptides.BR1_._15	Unique.peptides.BR2_._15	Unique.peptides.BR3_._15	Unique.peptides.BR1_._16	Unique.peptides.BR2_._16	Unique.peptides.BR3_._16	Unique.peptides.BR1_._17	Unique.peptides.BR2_._17	Unique.peptides.BR3_._17	Unique.peptides.BR1_._18	Unique.peptides.BR2_._18	Unique.peptides.BR3_._18	Unique.peptides.BR1_._19	Unique.peptides.BR2_._19	Unique.peptides.BR3_._19	Unique.peptides.BR1_._20	Unique.peptides.BR2_._20	Unique.peptides.BR3_._20	Unique.peptides.BR1_._01.1	Unique.peptides.BR2_._01.1	Unique.peptides.BR3_._01.1	Unique.peptides.BR1_._02.1	Unique.peptides.BR2_._02.1	Unique.peptides.BR3_._02.1	Unique.peptides.BR1_._03.1	Unique.peptides.BR2_._03.1	Unique.peptides.BR3_._03.1	Unique.peptides.BR1_._04.1	Unique.peptides.BR2_._04.1	Unique.peptides.BR3_._04.1	Unique.peptides.BR1_._05.1	Unique.peptides.BR2_._05.1	Unique.peptides.BR3_._05.1	Unique.peptides.BR1_._06.1	Unique.peptides.BR2_._06.1	Unique.peptides.BR3_._06.1	Unique.peptides.BR1_._07.1	Unique.peptides.BR2_._07.1	Unique.peptides.BR3_._07.1	Unique.peptides.BR1_._08.1	Unique.peptides.BR2_._08.1	Unique.peptides.BR3_._08.1	Unique.peptides.BR1_._09.1	Unique.peptides.BR2_._09.1	Unique.peptides.BR3_._09.1	Unique.peptides.BR1_._10.1	Unique.peptides.BR2_._10.1	Unique.peptides.BR3_._10.1	Unique.peptides.BR1_._11.1	Unique.peptides.BR2_._11.1	Unique.peptides.BR3_._11.1	Unique.peptides.BR1_._12.1	Unique.peptides.BR2_._12.1	Unique.peptides.BR3_._12.1	Unique.peptides.BR1_._13.1	Unique.peptides.BR2_._13.1	Unique.peptides.BR3_._13.1	Unique.peptides.BR1_._14.1	Unique.peptides.BR2_._14.1	Unique.peptides.BR3_._14.1	Unique.peptides.BR1_._15.1	Unique.peptides.BR2_._15.1	Unique.peptides.BR3_._15.1	Unique.peptides.BR1_._16.1	Unique.peptides.BR2_._16.1	Unique.peptides.BR3_._16.1	Unique.peptides.BR1_._17.1	Unique.peptides.BR2_._17.1	Unique.peptides.BR3_._17.1	Unique.peptides.BR1_._18.1	Unique.peptides.BR2_._18.1	Unique.peptides.BR3_._18.1	Unique.peptides.BR1_._19.1	Unique.peptides.BR2_._19.1	Unique.peptides.BR3_._19.1	Unique.peptides.BR1_._20.1	Unique.peptides.BR2_._20.1	Unique.peptides.BR3_._20.1
0				Standard	Biognosys	Biognosys		iRT-Kit_WR_fusion					Protein standard	x	19.84840393	19.37440364	22.13605372	22.11554718	21.60913785	19.91475741	19.62053363	20.59699758	20.55044619	21.75796191	21.91264343	21.71796481	21.88920848	21.93911362	21.60112063	21.98797544	21.70685005	20.92891502	22.06663958	21.79571088	20.43891017	19.38282267	22.10244179	22.32920074	22.60751216	21.24908892	19.97246297	21.10156504	21.45988846	21.70928446	22.03364118	22.31600889	22.16212781	22.11529541	22.1771609	22.3134702	21.91071828	22.15834236	22.05955251	21.77851168	19.16341782	19.58264542	20.79914856	20.53126717	20.13783646	17.45410728	21.06592178	22.67486763	22.66737175	22.37528038	21.23163414	22.73972702	22.50838089	20.54018784	21.77884483	21.84157181	17.03703117	20.86566925	19.11186981	21.48483086	18.26490021	20.43603706	21.85220528	19.5027504	21.34049797	20.60385895	19.70698166	22.49382401	20.96077347	21.81928825	22.50470161	21.97288132	21.26034737	22.25609207	21.9201622	20.97764015	22.73692322	21.37358284	21.55711937	22.58099937	21.63311768	21.6032238	22.4998436	21.09235954	21.21115875	22.73677826	21.5657444	21.66140366	22.6890831	20.90301132	21.52845573	22.61515236	18.41208267	21.75951004	23.17891884	21.46772003	21.55327988	22.01913261	21.64645195	21.72154808	20.95716476	19.95446968	20.40509605	20.02106667	19.1934967	18.93390465	20.24910355	23.46538162	22.59284019	22.88093567	22.09232712	22.01433945	22.81856728	23.33156013	21.67240906	21.91342163	20.93747139	20.89637375	19.34410095	20.95326233	19.62002563	20.69412994	20.62265587	21.98790932	22.63657379	20.87335014	20.86974144	22.15927887	21.17493248	21.79364204	23.05261803	21.46956062	21.57874489	22.90120697	22.11730766	21.92951202	22.66272926	22.02874184	21.79491234	22.90767479	22.38556099	21.05265045	22.91327477	22.02279472	21.59541321	23.10400772	22.24345016	21.59295273	22.69155502	21.60095787	21.43964195	23.04079628	21.83159447	21.60263634	22.84557724	22.094841	21.23823929	22.55887222	21.07156181	21.70510101	11	1	2	4	2	3	1	5	10	11	11	11	11	10	9	10	8	1	10	2	3	2	5	6	5	6	5	4	8	9	8	9	8	7	8	9	7	10	8	10	10	10	8	10	11	8	11	9	10	10	11	9	11	5	9	10	10	10	6	4	8	2	2	3	2	2	2	3	11	11	9	10	11	10	11	10	8	5	7	3	4	3	4	5	9	7	7	6	7	7	9	10	8	8	10	10	7	9	11	9	10	10	9	10	11	11	10	10	11	10	11	10	10	10	10	9	10	10	7	7	6
39	DUF4335 domain-containing protein	SGL_RS13700		ssl0787	lcl|NC_000911.1_prot_2360	lcl|NC_000911.1_prot_2360		DUF4335 domain-containing protein 		True	complement(2543725..2544323)	CDS		x				15.22417577	16.57726526																			17.37662506		18.2445631																								16.41714287	15.00197983	14.25340462	18.43065643		14.72387409			17.04174423																																																				17.03004265	17.72320747			18.65968895			18.51306534	17.97606087		18.91508484																																									11	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	photosystem I iron-sulfur center protein PsaC	SGL_RS12620	psaC	ssl0563	lcl|NC_000911.1_prot_WP_002764973.1_2146	lcl|NC_000911.1_prot_WP_002764973.1_2146	psaC	photosystem I iron-sulfur center protein PsaC] 	WP_228670071.1		complement(2287334..2287579)	CDS		x	19.38654327	21.80727005	20.13018227	19.71349398	19.26292992	21.02148056	22.88860512	25.68455187	26.0317084	25.93162473	26.06661987	26.48865509	26.0764459	26.08360608	25.72468885	25.86822065	25.75114886	24.73916181	25.54387029	29.5898571	20.98248609	21.79083443	19.17844518	19.64765167	19.85109838	20.78991063	23.04651833	25.65527471	25.85123761	26.16074053	26.21806018	26.62467702	26.40078608	26.5698096	26.34860102	26.39628537	26.21160952	26.03618622	25.84651629	29.48451487	18.98481941	21.93178558	17.24302483	23.47667122	21.73999405	20.20514488	20.18700981	20.75637627	19.44716072	20.06999016	18.85346222	20.21702957	20.23981285	17.37483597	20.17414093	20.64693451	21.2965889	21.12091827	23.90499687	22.19463348	22.566185	26.18512344	25.07691956	25.79161263	26.3347683	25.8771534	25.88320351	25.85340881	25.69705009	26.24441528	26.79228401	25.37328529	26.03429031	27.18631363	25.81433296	26.46531868	26.57221794	25.69415665	25.9629631	26.21821022	25.78688622	26.24572182	26.08202744	25.6019268	25.4901123	26.30080795	25.45557022	25.84828377	26.37464523	25.03006363	25.84873772	26.00414658	22.40958214	25.80375671	26.68672371	24.65239334	25.29249382	30.18056297	28.92855072	29.66045761	19.55427361	21.47149658	21.92168808	22.51501465	21.57644081	21.28104782	19.46423531	20.46333694	17.60776329	20.40810585	19.56268311	18.97216606	19.27553368	20.52200317	19.75575829	19.9903698	20.80001831	21.5793438	22.71032333	23.13533401	23.29389763	25.75235939	25.79914474	25.41431999	26.44018745	25.40986061	25.70366478	26.75697327	25.58023453	26.14501381	27.27204132	25.67244148	25.70969772	27.24617386	26.48332977	26.14452744	27.0477047	25.99386215	26.1607914	27.17731094	26.94737434	25.5847435	27.24834824	26.12129402	25.67616081	27.28020859	26.33504105	25.57360649	27.15778732	25.93737221	25.53966904	26.78269386	25.96046829	25.3653965	26.48414612	26.24319839	24.81220436	30.07979012	29.3245945	29.04916	6	4	5	2	6	4	3	3	4	5	4	4	4	3	3	5	3	4	5	6	3	7	7	7	9	8	8	10	8	8	10	8	6	9	8	8	9	8	8	10	8	8	10	8	8	11	8	6	11	8	8	10	8	4	10	8	8	9	12	9	12	2	3	4	2	1	3	1	4	3	4	4	4	2	5	6	2	3	5	4	3	5	7	7	10	8	12	9	8	12	11	8	7	8	8	8	9	8	8	9	8	8	9	8	8	11	8	7	10	8	8	10	8	7	9	8	9	9	10	12	11
45	hypothetical protein	SGL_RS01885		slr0613	lcl|NC_000911.1_prot_WP_010871209.1_3	lcl|NC_000911.1_prot_WP_010871209.1_3		hypothetical protein 	WP_010871207.1		1577..2098	CDS		x			18.04673004	16.97912089	18.55159378	19.30475235																	17.5926342	17.11208089	18.47293027	18.77332115													21.80257893									18.75951767	17.33394241	17.42595291	16.14807892	17.36333084	19.58865929		17.51452827	18.78001404	19.82949066												20.52516174										21.09235954		22.11206627																											18.228302	16.9569664	17.4098053	16.8237648	17.10267258	18.98937225	19.51631927	16.91309929		19.18802452	18.35861778																																						22.74379921	20.86135864				7	0	0	0	0	0	0	0	4	3	1	2	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	2	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
46	Ycf53-like protein	SGL_RS01890		sll0558	lcl|NC_000911.1_prot_WP_010871210.1_4	lcl|NC_000911.1_prot_WP_010871210.1_4		GUN4 domain-containing protein 	WP_010871209.1		complement(2172..2873)	CDS		x			17.22425175	17.07745043	16.8261741															19.26652813			16.54153252	17.05577024	17.43852679	17.93367195														19.34240468								18.35698509	16.0915184	17.35242271	16.40992165	17.47000694	18.53172493	15.13101292	16.81578445			17.30402946																																								19.6317234		18.90133286								17.41567612	15.66738892	17.5695591	17.22900581	16.3687458	17.17494583	17.93634987	17.20428467	18.16462135	18.20528793	17.43110657																																								19.26604462	19.30963707	19.45153236	12	0	0	0	0	0	0	0	3	1	3	2	2	3	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	4	2	5	3	2	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
47	magnesium-protoporphyrin IX monomethyl ester	SGL_RS01895	acsF	sll1214	lcl|NC_000911.1_prot_WP_010871211.1_5	lcl|NC_000911.1_prot_WP_010871211.1_5	acsF	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase] 	WP_010871210.1		complement(3192..4268)	CDS		x			14.22328854	13.90096951	16.2592411	17.6627903	19.80616061	18.53695615	15.48902607	15.24871794	16.27410857	16.86117872	14.60213216	14.72911517	14.46065474	15.39087248	15.06975746			19.35813586				16.0222435	18.20009295	19.77422841	19.76628304	18.44503562	18.01572418	17.56619453	15.21899366	16.57740466	14.80022621	15.22485447	16.26997852	15.77417994	14.7277565	14.6339736	13.87512016	19.31635793								14.16435719	14.28221989	16.81077194		10.99116707	18.82043457	14.81052113	15.14676762	19.8742218	20.79487228	12.31927681	21.1884594	20.26361847	17.96640396	18.8296299	18.93012428	17.85111427	15.21070957	17.47603416	13.78033447	15.40307903	15.92186451	14.42121029	17.15580559	15.68743038	15.97908974	17.61877251	16.92346764	16.04129601	14.88326359	14.8660717	14.0570612	14.10631752	15.77746105	14.30356693	13.94233131	14.97897816		15.68890572	15.09283924		14.98268127	15.15683365			12.19528008					20.24376869	20.66135979	17.1692791								16.38959694		17.4616394	16.98682022	13.61827087	19.32126808	19.79591942	15.48309135	19.4926548	20.15424919	19.67578125	20.93373108	20.70598602	17.659132	19.99189186	20.15597916	15.18723583	18.14120865		17.89023972	18.38131523		16.75107384	15.54279041	14.89519691		16.8087635	16.5704937	16.35295677	14.18053055	15.37578583	14.84436226	16.36707306	15.60987091	13.69761944	16.4628067	16.07715034		16.38848877	15.1598711		15.37286472	14.08264828		14.35197449	14.91597271		14.54339409	13.20684624		19.95176888	20.1611557	17.83614922	24	0	0	0	0	0	0	1	2	1	5	0	2	10	4	6	8	7	3	11	7	5	6	6	3	3	3	2	2	3	2	3	2	1	5	3	2	3	3	1	2	4	1	1	3	0	3	2	0	4	3	0	0	1	0	1	0	0	12	8	2	0	0	0	0	0	0	0	1	0	7	7	2	12	13	8	8	10	9	7	7	4	8	8	5	5	0	1	2	0	2	2	2	0	1	3	3	2	3	1	4	2	1	4	6	0	6	5	0	3	2	1	2	2	0	3	2	0	12	10	3
48	GDP-L-fucose synthase	SGL_RS01900		sll1213	lcl|NC_000911.1_prot_WP_010871212.1_6	lcl|NC_000911.1_prot_WP_010871212.1_6		GDP-L-fucose synthase 	WP_010871211.1		complement(4451..5389)	CDS		x		16.01618799	18.83974298	20.20087242	19.13815117	18.17259979																16.72323227	18.73571587	20.24729602	20.04709371	19.96579615																		15.485075	16.75668716	15.8068018	15.94996357	21.13269997	19.4365654	20.88888931	19.5293808	20.18434715	20.65525818	18.48298073	18.2762146	18.90829849	19.06878281	16.54071808			16.17344284																																											18.02117538	19.40503311	12.74348831	15.82219696	21.5929985	18.79195213	21.09306908	20.70252419	18.94629478	20.53183746	21.14301682	18.46642685	20.07378578	20.61683655	19.20676613																																											19	0	0	0	2	3	2	2	17	14	14	8	10	12	6	6	3	5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	17	9	12	12	8	11	13	6	4	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	GDP-mannose 4,6-dehydratase	SGL_RS01905	gmd	sll1212	lcl|NC_000911.1_prot_WP_010871213.1_7	lcl|NC_000911.1_prot_WP_010871213.1_7	gmd	GDP-mannose 4,6-dehydratase] 	WP_010871212.1		complement(5534..6622)	CDS		x						18.76246961	22.34435717	22.85975329	22.44277954	19.54723231	15.45589193	14.32955933								16.68603516					17.44798946	19.4519647	22.68837102	23.30645243	20.31954575	18.11960697	14.88109938	16.02188253								16.13232708										15.23200893			16.45911217			19.96930313	21.59295273	14.72515297	23.62678337	23.90260696	19.50368118	23.74980545	23.94324303	20.8862114	23.25868034	22.54158401	21.52807426	20.79669571	18.44115257	19.40384865	18.62084961	11.89795876	15.84886742	13.97387695		14.6852417																						16.44373703	16.92833328														17.19806099	17.69791794		19.9038353	19.9084301	18.54362869	23.13600731	22.94445992	21.98464584	24.17462921	23.64888763	22.09584045	23.67152405	17.01094246	20.27617073	21.56713676	15.54457188	17.24711227	18.73499489	12.12786579	13.78043747	16.81378174	15.22998333																							14.80765724	17.45699692		21	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	13	11	3	21	21	12	22	22	17	22	22	19	14	6	12	7	2	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	10	12	9	12	17	17	22	26	26	21	3	15	15	1	7	10	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
50	photosystem II protein D1 2	SGL_RS01910		slr1311	lcl|NC_000911.1_prot_WP_010871214.1_8;lcl|NC_000911.1_prot_WP_010871214.1_1711	lcl|NC_000911.1_prot_WP_010871214.1_8;lcl|NC_000911.1_prot_WP_010871214.1_1711	psbA	photosystem II q(b) protein] 	WP_010871214.1;WP_010871213.1		7229..8311;complement(1818915..1819997)	CDS		x		17.93716431			16.40685876	19.80300649	23.37926674	24.11929067	24.60102654	24.28647995	23.8259271	23.60740534	23.16018359	22.96539942	22.58202553	22.57163175	22.46974182	21.37267113	21.33949343	25.41180611					17.83303261	20.42004967	23.13495318	25.26468658	23.21948751	23.15237236	23.51893552	23.91744614	23.48780378	23.55900065	23.46683057	22.98748843	22.89402898	22.45233345	21.85072962	25.1260643				19.12613487	16.74819374			14.42009163		17.25026131			18.76700783	14.76207066	15.6914978	19.44125366	20.77152824	19.19623756	24.52671432	23.63533401	21.97575188	24.44366837	24.62945366	23.28474998	25.30626106	25.24880028	23.24801826	24.36098289	24.58777809	23.91067886	24.94355583	23.47444534	23.05978012	24.31125832	24.12959099	22.38136673	23.78026581	23.65948868	22.04079628	23.28390312	23.18074036	22.43155479	23.27880859	23.01872635	21.44854164	23.66709137	22.72727394	21.32052994	23.69381142	22.3925724	21.32284164	22.91521072	20.43369484	20.76910782	23.29417801	21.12999916	19.59430313	26.12904167	26.09543037	24.01094627										16.91485214			19.05661201	16.6094532		19.52236748	21.75115585	19.98662567	22.6130619	23.30159378	23.49020386	26.11010361	25.61874199	24.06521416	25.78516579	20.44859314	23.4247036	25.39982605	20.3350544	23.72223663	24.90605164	23.50397301	22.14678192	24.8593235	24.10181427	22.79120064	24.67965317	23.93597984	21.84777832	24.72213173	24.48406792	21.47080231	24.69519234	23.22393799	22.48136139	24.53225517	22.88846207	21.54174805	24.22214127	22.71559143	21.74435425	24.05713654	21.91422462	21.38563919	23.15454292	22.61889839	19.77874756	25.44663811	25.66370201	24.26785278	9	0	0	0	1	1	0	0	2	0	2	0	0	2	1	1	2	1	2	2	2	3	1	2	2	3	3	2	2	2	2	3	2	3	2	2	3	2	3	3	3	3	2	3	3	3	3	2	3	2	3	2	3	2	2	2	2	2	2	3	3	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	3	2	2	1	2	2	2	3	2	2	2	3	3	3	3	2	2	3	3	2	3	3	2	3	3	2	3	3	3	3	2	3	3	3	2	3	1	3	2	2	2	3	2	2
54	photosystem II reaction center protein Psb28	SGL_RS02070		sll1398	lcl|NC_000911.1_prot_WP_010871246.1_41	lcl|NC_000911.1_prot_WP_010871246.1_41	psb28	photosystem II reaction center protein Psb28] 	WP_010871245.1		complement(49893..50231)	CDS		x	19.91217995	21.25309563	19.38463338	18.54609617	18.97521718	19.67501513	22.67345365	24.47544988	23.9050986	23.60772514	22.9907856	22.53229586	22.0537192	21.88588333	21.60335541	21.71402804	21.24067179	19.6617953	19.95085843	23.5095164	19.4802351	19.2337532	19.74271202	19.34482829	20.36122195	20.61562602	23.09552511	24.37753296	23.53400548	23.20526314	23.10959498	23.13475164	22.61205482	22.59027227	22.37334188	22.26633453	21.63469187	21.4460214	20.73578771	23.02427292		20.24991417	19.57444572	21.73991203	20.76627922		19.12467194	21.91491699	17.11431122	19.69827461	17.05122948	18.88878441	21.42956352	16.55451393	18.9415741	18.07869339	20.96543121	19.98092079	24.38455963	23.7025032	19.93329811	24.56028366	25.77986526	23.08620071	24.50087738	24.92755127	22.28686714	23.58943748	23.96146393	23.27227402	23.77655602	23.13448715	22.06131363	23.71732903	22.99379349	20.88576508	22.59591484	22.81139183	20.75385094	22.51835823	22.05424118	21.08505058	22.15526962	21.86151123	20.79328537	22.55489731	21.7743454	20.81284142	22.09081078	21.11476898	20.51643562	21.74865913	17.07200623	20.16472054	21.90690613	19.60671616	18.33895302	24.57980347	23.15325928	22.79548645	21.80911636	17.15135384			20.41007423	18.05743217	18.75499153	21.47357941	18.99956512	21.12060165	19.05595016	17.85793304	20.89445114	21.2396965	18.9495182	20.55730629	20.47367859	20.81589317	23.24442291	23.00814438	23.03400803	24.90692329	24.46699905	23.75867653	25.48618889	21.94077301	23.17505455	24.9539814	21.32207108	23.33973694	24.52240944	23.08862877	21.71774673	23.75562286	23.40236664	22.24626541	23.48836517	22.91466331	21.43313599	23.24279594	23.4402504	21.08777046	23.0306778	22.54226875	21.54707909	22.91489983	22.29608536	21.58801842	22.33016586	21.49594688	21.07796288	22.27534676	21.27452087	20.78819656	21.69947815	21.00641632	19.50146866	24.29977798	23.05437469	21.71866608	7	0	1	2	1	1	0	2	7	4	5	2	4	5	1	4	2	3	4	4	5	2	6	7	4	7	7	4	6	6	6	7	5	6	7	6	4	6	6	5	6	6	6	6	6	6	6	5	4	7	6	4	6	3	5	5	6	3	7	3	5	1	1	0	0	1	1	2	7	3	5	6	3	4	5	3	3	3	3	4	3	4	5	5	7	7	5	6	7	5	8	7	5	4	7	6	5	7	6	5	7	6	5	6	6	6	6	7	6	7	7	5	7	5	5	7	6	5	6	4	3
